no,id,sex,age,lact,preg,repstat,KFI,fetsex,fetwt,fetleng,lengwt,ID,Male_tel,Male_marsh,Female_tel,Female_marsh,llarvae,mlarvae,aboscore,aboclass,Eimeria,Tstrong,Nemato,Marsh,Moniez
56,172,f,2,n,n,nn,1.108903509,,,,,172,870,270,3600,200,24100,14400,moderate,3,181,1.25,6,2.75,0
58,177,f,2,n,n,nn,1.03907719,,,,,177,10,0,0,10,20700,1100,light,2,500,0,0,0,0
61,183,f,2,n,n,nn,0.716056166,,,,,183,1140,60,2620,40,10300,8900,none,1,179.75,0,3.75,2.25,0
62,184,f,2,n,n,nn,1.043721732,,,,,184,650,80,1710,140,10400,2100,light,2,500,0,14.5,0.25,0
93,261,f,2,n,n,nn,1.324629999,,,,,261,0,30,30,10,48300,1300,,,333.25,3.5,0,0,0
98,270,f,2,n,n,nn,1.08151811,,,,,270,540,270,2500,150,26800,700,,,333.25,0.5,2.25,0,0
106,281,f,2,n,n,nn,1.050080399,,,,,281,60,10,120,0,32500,19600,light,2,195,0,0,0,0
113,291,f,2,n,n,nn,0.891125035,,,,,291,510,80,1200,100,39700,16500,,,71.25,0.5,1.5,0,0
116,296,f,2,n,n,nn,1.064356436,,,,,296,10,40,140,30,22600,4800,none,1,1.5,0.75,1.25,0,0
136,363,f,2,n,n,nn,1.356189918,,,,,363,80,140,760,210,19800,6700,,,101.25,0,0.25,1.5,0
6,68,f,3,n,n,nn,0.868735982,,,,,68,0,50,60,20,30900,10500,moderate,3,181.25,0,0,0,0
34,131,f,3,y,n,yn,0.884891007,,,,,131,750,60,2830,120,12200,12700,light,2,83.75,0.5,1.75,1.25,0
38,141,f,3,y,n,yn,1.001756759,,,,,141,10,160,340,180,37800,9400,light,2,58.75,0.25,1.25,0.75,0
46,153,f,3,n,n,nn,1.286502342,,,,,153,20,10,40,0,5600,0,moderate,3,132.75,0.25,0.5,0.5,0
57,176,f,3,n,n,nn,1.035369656,,,,,176,10,0,10,10,8100,18800,light,2,111.25,0.25,2,0,0
63,189,f,3,y,n,yn,1.109205922,,,,,189,0,0,0,0,6100,3500,light,2,61.25,0,0,0,0
